state,statefip,cbsa,cbsacode,metpop10,cbsacity,cbsacitypop,pumaname,pumanum,pumapop,pumacity,pumacitypop,geodensity,simpledensity,princity,princitypop,altmetro
DE,10,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,5965343,Philadelphia,1603797,"New Castle County (South)--Middletown Town, Bear & Glasgow PUMA; Delaware",104,155212,Middletown,23192,887,586,No Principal City,,2 Town
DE,10,"Dover, DE",20100,162310,Dover,39403,"Kent County--Dover City PUMA, Delaware",200,179124,Dover,39403,550,301,Dover,39403,2 Town
DE,10,"Salisbury, MD-DE",41540,373802,Salisbury,33050,"Sussex County PUMA, Delaware",300,230249,Seaford,7957,285,240,No Principal City,,1 Rural
FL,12,"Gainesville, FL",23540,264275,Gainesville,141085,"Alachua County (Central)--Gainesville City (Central) PUMA, Florida",101,150446,Gainesville,141085,2702,2050,Gainesville,141085,3 Small City
FL,12,"Gainesville, FL",23540,264275,Gainesville,141085,"Alachua County (Outer) PUMA, Florida",102,117659,Alachua,10574,283,145,No Principal City,,1 Rural
FL,12,"Panama City, FL",37460,136740,Panama City,32939,"Walton, Washington, Holmes & Bay Counties PUMA; Florida",500,295749,Panama City,32939,348,103,Panama City,32939,2 Town
FL,12,"Palm Bay-Melbourne-Titusville, FL",37340,543376,Palm Bay,119760,"Brevard County (Northwest)--Titusville, Rockledge & Cocoa Cities PUMA; Florida",901,198556,Titusville,48789,1227,621,Titusville,48789,2 Town
FL,12,"Palm Bay-Melbourne-Titusville, FL",37340,543376,Palm Bay,119760,"Brevard County (East)--Beaches & Merritt Island PUMA, Florida",902,124439,Merritt Island,34518,2091,596,No Principal City,,2 Town
FL,12,"Palm Bay-Melbourne-Titusville, FL",37340,543376,Palm Bay,119760,"Brevard County (Southwest)--Melbourne & West Melbourne Cities PUMA, Florida",903,131984,Melbourne,84678,1907,373,Melbourne,84678,3 Small City
FL,12,"Palm Bay-Melbourne-Titusville, FL",37340,543376,Palm Bay,119760,"Brevard County (Southeast)--Palm Bay City, Grant-Valkaria & Malabar Towns PUMA; Florida",904,139022,Palm Bay,119760,1543,942,Palm Bay,119760,3 Small City
FL,12,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,5564635,Fort Lauderdale,182760,"Broward County (West)--Coral Springs & Parkland Cities PUMA, Florida",1101,165689,Coral Springs,134394,4460,195,Fort Lauderdale,182760,4 Satellite
